atomic_no,mass_no
1,1
2,4
3,7
4,9
5,11
6,12
7,14
8,16
9,19
10,20
11,23
12,24
13,27
14,28
15,31
16,32
17,35
18,40
19,39
20,40
21,45
22,48
23,51
24,52
25,55
26,56
27,59
28,59
29,63
30,65
31,70
32,73
33,75
34,79
35,80
36,84
37,85
38,88
39,89
40,91
41,93
42,96
43,98
44,101
45,103
46,106
47,108
48,112
49,115
50,119
51,122
52,128
53,127
54,131
55,133
56,137
57,139
58,140
59,141
60,144
61,145
62,150
63,152
64,157
65,159
66,162
67,165
68,167
69,169
70,173
71,175
72,178
73,181
74,184
75,186
76,190
77,192
78,195
79,197
80,200
81,204
82,207
83,209
84,209
85,210
86,222
87,223
88,226
89,227
90,232
91,231
92,238
93,237
94,243
95,243
96,247
97,247
98,251
99,252
100,257
101,258
102,259
103,260
104,261
105,262
106,263
107,262
108,269
109,277
110,281
111,282
112,285
113,286
114,290
115,290
116,293
117,294
118,294
