atomic_no,mass_no
1,2
1,3
2,3
2,4
3,6
3,7
4,9
5,11
6,12
7,14
8,16
9,19
10,20
11,23
12,24
13,27
14,28
15,31
16,32
16,34
17,35
18,40
19,39
20,40
21,45
22,48
23,51
24,52
25,55
26,56
27,59
28,58
29,63
30,65
31,70
32,74
33,75
34,80
35,79
36,84
37,85
38,88
39,89
40,91
41,93
42,98
43,98
44,102
45,103
46,106
47,108
48,112
49,115
50,120
51,121
52,130
53,127
54,131
55,133
56,137
57,139
58,140
59,141
60,144
61,145
62,150
63,152
64,157
65,159
66,164
67,165
68,167
69,169
70,173
71,175
72,178
73,181
74,184
75,186
76,190
77,192
78,195
79,197
80,202
81,205
82,208
83,209
84,209
85,210
86,222
87,223
88,226
89,227
90,232
91,231
92,238
93,237
94,244
95,243
96,247
97,247
98,251
99,252
100,257
101,258
102,259
103,266
104,267
105,270
106,271
107,270
108,277
109,278
110,281

